"id","pole_code","latitude","longitude","city","district","neighborhood","street","sequence_no","pole_type","direction_type","arm_type","status"
"cbccb6ba-805c-4b15-9ca0-2694c84f6839","TOKAT-DOGUKENT-0009","40.331034","36.567737","Tokat","Doğukent Mahallesi","Doğukent","Doğukent Civari","9","NORMAL","TEK_YONLU","T","AVAILABLE"
"d07fae8f-5f6a-4d81-b77b-5719ae555ec9","TOKAT-KEMER-BEHZAT-BULVARI-0004","40.291819","36.551177","Tokat","Kemer Mahallesi","Kemer","Behzat Bulvarı","4","NORMAL","TEK_YONLU","L","AVAILABLE"
"d130e6d1-d7ab-4918-a9ee-402e5136fb98","TOKAT-MAHMUTPASA-BEHZAT-BULVARI-0020","40.297732","36.553893","Tokat","Mahmutpaşa Mahallesi","Mahmutpaşa","Behzat Bulvarı","20","NORMAL","TEK_YONLU","L","AVAILABLE"
"d1a9b6e8-1d0d-429d-85a8-aa02d53f1be1","TOKAT-SOGUKPINAR-BEHZAT-BULVARI-0016","40.310831","36.553907","Tokat","Soğukpınar Mahallesi","Soğukpınar","Behzat Bulvarı","16","NORMAL","TEK_YONLU","L","AVAILABLE"
"d56084c8-a3a2-416d-bb6e-e60e63887b64","TOKAT-PERAKENDE-BEHZAT-BULVARI-0003","40.296862","36.553093","Tokat","Perakende Mahallesi","Perakende","Behzat Bulvarı","3","NORMAL","TEK_YONLU","L","AVAILABLE"
"d75675a4-773d-49bf-8300-a471584ce8e5","TOKAT-PERAKENDE-0004","40.295069","36.55289","Tokat","Perakende Mahallesi","Perakende","Perakende Civari","4","NORMAL","TEK_YONLU","L","AVAILABLE"
"d87f5fac-336a-4b62-95a4-dcf15f42825a","TOKAT-MAHMUTPASA-BEHZAT-BULVARI-0021","40.297973","36.554081","Tokat","Mahmutpaşa Mahallesi","Mahmutpaşa","Behzat Bulvarı","21","NORMAL","TEK_YONLU","L","AVAILABLE"
"d8de0805-a561-41eb-b7ea-bf44130726e8","TOKAT-MAHMUTPASA-BEHZAT-BULVARI-0016","40.298485","36.553988","Tokat","Mahmutpaşa Mahallesi","Mahmutpaşa","Behzat Bulvarı","16","NORMAL","TEK_YONLU","L","AVAILABLE"
"dd1e8627-f947-4b5a-a24d-d945e5303d26","TOKAT-KEMER-BEHZAT-BULVARI-0001","40.2943","36.552997","Tokat","Kemer Mahallesi","Kemer","Behzat Bulvarı","1","NORMAL","TEK_YONLU","L","AVAILABLE"
"dd66be6f-caf7-42f6-a1ee-d79bf433a827","TOKAT-PERAKENDE-BEHZAT-BULVARI-0005","40.296311","36.552818","Tokat","Perakende Mahallesi","Perakende","Behzat Bulvarı","5","NORMAL","TEK_YONLU","L","AVAILABLE"
"ded0795e-ba59-486d-b653-7e44d745d106","TOKAT-MAHMUTPASA-BEHZAT-BULVARI-0023","40.298815","36.554689","Tokat","Mahmutpaşa Mahallesi","Mahmutpaşa","Behzat Bulvarı","23","NORMAL","TEK_YONLU","T","AVAILABLE"
"dfcd3c9d-053c-4ad1-b2a0-3311fbfb5e58","TOKAT-MAHMUTPASA-BEHZAT-BULVARI-0024","40.299049","36.554767","Tokat","Mahmutpaşa Mahallesi","Mahmutpaşa","Behzat Bulvarı","24","NORMAL","TEK_YONLU","T","AVAILABLE"
"dfece1d1-ca26-4a9b-bf10-f84883bbcce2","TOKAT-MAHMUTPASA-BEHZAT-BULVARI-0031","40.300807","36.555489","Tokat","Mahmutpaşa Mahallesi","Mahmutpaşa","Behzat Bulvarı","31","NORMAL","TEK_YONLU","L","AVAILABLE"
"e055032f-61fd-483d-ac07-2c449126d74f","TOKAT-SOGUKPINAR-BEHZAT-BULVARI-0001","40.304041","36.554522","Tokat","Soğukpınar Mahallesi","Soğukpınar","Behzat Bulvarı","1","NORMAL","TEK_YONLU","L","AVAILABLE"
"e3c5acdd-0109-4fa6-a8ee-00f8ea3ea801","TOKAT-DOGUKENT-0006","40.330399","36.566994","Tokat","Doğukent Mahallesi","Doğukent","Doğukent Civari","6","NORMAL","TEK_YONLU","T","AVAILABLE"
"ea6cbc2f-9fcf-450b-abe5-ea19647523ac","TOKAT-PERAKENDE-BEHZAT-BULVARI-0020","40.297108","36.553501","Tokat","Perakende Mahallesi","Perakende","Behzat Bulvarı","20","NORMAL","TEK_YONLU","L","AVAILABLE"
"f0523a62-eef6-46d0-ab91-4c593f55a033","TOKAT-MAHMUTPASA-BEHZAT-BULVARI-0003","40.302568","36.554798","Tokat","Mahmutpaşa Mahallesi","Mahmutpaşa","Behzat Bulvarı","3","NORMAL","TEK_YONLU","L","AVAILABLE"
"f1053d83-a79d-4ca3-a473-152c8178ca7e","TOKAT-PERAKENDE-BEHZAT-BULVARI-0014","40.295121","36.553226","Tokat","Perakende Mahallesi","Perakende","Behzat Bulvarı","14","NORMAL","TEK_YONLU","L","AVAILABLE"
"f2f47590-8e1a-44c0-a372-5d57bc58f4c1","TOKAT-SOGUKPINAR-BEHZAT-BULVARI-0015","40.310648","36.553895","Tokat","Soğukpınar Mahallesi","Soğukpınar","Behzat Bulvarı","15","NORMAL","TEK_YONLU","L","AVAILABLE"
"f7d2448d-577d-4ab3-b112-21c70923d14b","TOKAT-SOGUKPINAR-BEHZAT-BULVARI-0009","40.306798","36.55505","Tokat","Soğukpınar Mahallesi","Soğukpınar","Behzat Bulvarı","9","NORMAL","TEK_YONLU","L","AVAILABLE"
"fdffdc2e-5541-4be3-a194-c40c9b9d0520","TOKAT-MAHMUTPASA-BEHZAT-BULVARI-0036","40.303353","36.554733","Tokat","Mahmutpaşa Mahallesi","Mahmutpaşa","Behzat Bulvarı","36","NORMAL","TEK_YONLU","L","AVAILABLE"
"fe7d0fe0-2513-4138-8148-dc5603bf896c","TOKAT-MAHMUTPASA-BEHZAT-BULVARI-0025","40.299253","36.554872","Tokat","Mahmutpaşa Mahallesi","Mahmutpaşa","Behzat Bulvarı","25","NORMAL","TEK_YONLU","T","AVAILABLE"
"ffcb0516-97ba-4ba3-9f57-75e648da41d1","TOKAT-MAHMUTPASA-BEHZAT-BULVARI-0027","40.299744","36.555105","Tokat","Mahmutpaşa Mahallesi","Mahmutpaşa","Behzat Bulvarı","27","NORMAL","TEK_YONLU","L","AVAILABLE"
